subj_idx,response,cond,rt,trial,split_by,feedback,q_init
50,0.0,EF,0.794,34.0,2,1.0,0.5
50,1.0,AB,0.82,34.0,0,1.0,0.5
50,0.0,CD,0.719,34.0,1,0.0,0.5
50,1.0,CD,1.13,35.0,1,1.0,0.5
50,1.0,AB,0.911,35.0,0,1.0,0.5
50,0.0,EF,1.374,35.0,2,0.0,0.5
50,1.0,AB,0.707,36.0,0,0.0,0.5
50,0.0,CD,0.791,36.0,1,1.0,0.5
50,0.0,EF,0.974,36.0,2,1.0,0.5
50,0.0,EF,0.766,37.0,2,1.0,0.5
50,0.0,CD,0.915,37.0,1,1.0,0.5
50,1.0,AB,0.791,37.0,0,1.0,0.5
50,1.0,AB,0.977,38.0,0,1.0,0.5
50,0.0,EF,0.709,38.0,2,1.0,0.5
50,0.0,CD,0.986,38.0,1,0.0,0.5
50,1.0,AB,1.646,39.0,0,1.0,0.5
50,1.0,EF,1.128,39.0,2,0.0,0.5
50,0.0,CD,0.639,39.0,1,0.0,0.5
50,0.0,EF,0.871,40.0,2,1.0,0.5
50,0.0,CD,0.74,40.0,1,0.0,0.5
50,1.0,AB,0.584,40.0,0,1.0,0.5
50,1.0,AB,0.831,41.0,0,1.0,0.5
50,1.0,EF,1.185,41.0,2,1.0,0.5
50,0.0,CD,0.919,41.0,1,1.0,0.5
50,0.0,CD,1.104,42.0,1,0.0,0.5
50,1.0,AB,0.93,42.0,0,1.0,0.5
50,1.0,EF,1.822,42.0,2,1.0,0.5
50,1.0,AB,0.929,43.0,0,1.0,0.5
50,0.0,CD,1.235,43.0,1,0.0,0.5
50,1.0,EF,1.8,43.0,2,1.0,0.5
50,1.0,AB,0.982,44.0,0,0.0,0.5
50,0.0,CD,1.166,44.0,1,0.0,0.5
50,1.0,EF,1.29,44.0,2,1.0,0.5
50,1.0,AB,0.933,45.0,0,1.0,0.5
50,1.0,EF,1.528,45.0,2,1.0,0.5
50,0.0,CD,2.638,45.0,1,0.0,0.5
50,0.0,CD,0.814,46.0,1,0.0,0.5
50,1.0,AB,1.045,46.0,0,1.0,0.5
50,1.0,EF,2.619,46.0,2,0.0,0.5
50,1.0,CD,1.085,47.0,1,0.0,0.5
50,1.0,AB,0.764,47.0,0,0.0,0.5
50,1.0,EF,1.351,47.0,2,1.0,0.5
50,1.0,AB,1.116,48.0,0,1.0,0.5
50,1.0,EF,2.236,48.0,2,1.0,0.5
50,1.0,CD,1.325,48.0,1,0.0,0.5
50,0.0,CD,0.779,49.0,1,1.0,0.5
50,1.0,AB,0.855,49.0,0,1.0,0.5
50,1.0,EF,1.722,49.0,2,1.0,0.5
50,1.0,EF,0.76,50.0,2,1.0,0.5
50,1.0,AB,0.911,50.0,0,1.0,0.5
50,0.0,CD,0.783,50.0,1,0.0,0.5
50,0.0,EF,0.905,51.0,2,0.0,0.5
50,1.0,CD,0.819,51.0,1,0.0,0.5
50,1.0,AB,0.599,51.0,0,0.0,0.5
50,1.0,EF,0.895,52.0,2,0.0,0.5
50,1.0,AB,0.756,52.0,0,1.0,0.5
50,0.0,CD,0.813,52.0,1,0.0,0.5
50,1.0,EF,1.067,53.0,2,1.0,0.5
50,0.0,CD,0.749,53.0,1,0.0,0.5
50,1.0,AB,0.736,53.0,0,1.0,0.5
50,1.0,CD,1.241,54.0,1,0.0,0.5
50,0.0,EF,0.982,54.0,2,0.0,0.5
50,0.0,AB,0.608,54.0,0,1.0,0.5
50,0.0,CD,1.081,55.0,1,1.0,0.5
50,1.0,AB,0.663,55.0,0,1.0,0.5
50,1.0,EF,1.046,55.0,2,1.0,0.5
50,1.0,AB,0.98,56.0,0,1.0,0.5
50,0.0,CD,0.848,56.0,1,1.0,0.5
50,1.0,EF,1.528,56.0,2,1.0,0.5
50,1.0,EF,0.829,57.0,2,1.0,0.5
50,0.0,CD,0.583,57.0,1,0.0,0.5
50,1.0,AB,0.785,57.0,0,1.0,0.5
50,1.0,CD,1.529,58.0,1,1.0,0.5
50,1.0,EF,1.122,58.0,2,0.0,0.5
50,1.0,AB,0.803,58.0,0,1.0,0.5
50,0.0,EF,0.814,59.0,2,0.0,0.5
50,1.0,AB,0.704,59.0,0,1.0,0.5
50,1.0,CD,1.246,59.0,1,1.0,0.5
50,1.0,CD,1.187,60.0,1,1.0,0.5
50,1.0,AB,0.802,60.0,0,1.0,0.5
50,0.0,EF,0.953,60.0,2,0.0,0.5
50,1.0,AB,1.478,61.0,0,1.0,0.5
50,1.0,CD,1.334,61.0,1,0.0,0.5
50,1.0,EF,1.211,61.0,2,1.0,0.5
50,1.0,EF,1.137,62.0,2,0.0,0.5
50,1.0,AB,0.776,62.0,0,0.0,0.5
50,1.0,CD,1.348,62.0,1,0.0,0.5
50,1.0,AB,0.65,63.0,0,0.0,0.5
50,1.0,EF,0.858,63.0,2,0.0,0.5
50,0.0,CD,1.169,63.0,1,0.0,0.5
50,0.0,EF,2.209,64.0,2,0.0,0.5
50,0.0,CD,0.933,64.0,1,1.0,0.5
50,1.0,AB,0.692,64.0,0,0.0,0.5
50,0.0,CD,1.055,65.0,1,1.0,0.5
50,1.0,AB,0.704,65.0,0,1.0,0.5
50,1.0,EF,1.046,65.0,2,0.0,0.5
50,1.0,AB,0.692,66.0,0,1.0,0.5
50,1.0,EF,0.807,66.0,2,0.0,0.5
50,0.0,CD,1.667,66.0,1,0.0,0.5
50,1.0,AB,0.674,67.0,0,0.0,0.5
50,0.0,CD,0.895,67.0,1,1.0,0.5
50,0.0,EF,1.117,67.0,2,0.0,0.5
50,1.0,AB,0.794,68.0,0,0.0,0.5
50,1.0,EF,1.266,68.0,2,0.0,0.5
50,0.0,CD,1.43,68.0,1,1.0,0.5
50,1.0,CD,1.496,69.0,1,1.0,0.5
50,1.0,AB,1.466,69.0,0,1.0,0.5
50,0.0,EF,1.218,69.0,2,0.0,0.5
50,1.0,AB,1.05,70.0,0,1.0,0.5
50,1.0,CD,1.833,70.0,1,1.0,0.5
50,1.0,EF,1.686,70.0,2,1.0,0.5
50,1.0,CD,0.959,71.0,1,1.0,0.5
50,1.0,AB,0.955,71.0,0,1.0,0.5
50,1.0,EF,2.112,71.0,2,1.0,0.5
50,0.0,CD,1.645,72.0,1,0.0,0.5
50,1.0,AB,0.72,72.0,0,0.0,0.5
50,1.0,EF,1.561,72.0,2,1.0,0.5
50,1.0,CD,1.433,73.0,1,0.0,0.5
50,1.0,EF,1.794,73.0,2,0.0,0.5
50,1.0,AB,0.686,73.0,0,1.0,0.5
50,1.0,EF,1.159,74.0,2,1.0,0.5
50,0.0,CD,1.357,74.0,1,0.0,0.5
50,1.0,AB,1.395,74.0,0,0.0,0.5
50,0.0,CD,0.951,75.0,1,1.0,0.5
50,1.0,AB,0.838,75.0,0,1.0,0.5
50,1.0,EF,1.237,75.0,2,1.0,0.5
50,0.0,CD,1.496,76.0,1,0.0,0.5
50,1.0,AB,0.775,76.0,0,0.0,0.5
50,1.0,EF,0.876,76.0,2,1.0,0.5
50,1.0,EF,1.051,77.0,2,1.0,0.5
50,1.0,AB,0.636,77.0,0,1.0,0.5
50,0.0,CD,0.821,77.0,1,1.0,0.5
50,0.0,CD,0.972,78.0,1,0.0,0.5
50,1.0,AB,0.772,78.0,0,1.0,0.5
50,1.0,EF,1.149,78.0,2,0.0,0.5
50,1.0,AB,0.762,79.0,0,1.0,0.5
50,0.0,EF,0.806,79.0,2,1.0,0.5
50,0.0,CD,1.056,79.0,1,1.0,0.5
50,1.0,AB,1.039,80.0,0,1.0,0.5
50,1.0,EF,1.103,80.0,2,0.0,0.5
50,1.0,CD,1.026,80.0,1,1.0,0.5
50,1.0,CD,1.447,81.0,1,1.0,0.5
50,1.0,AB,0.87,81.0,0,1.0,0.5
50,0.0,EF,1.578,81.0,2,0.0,0.5
50,0.0,EF,1.041,82.0,2,0.0,0.5
50,1.0,AB,0.99,82.0,0,1.0,0.5
50,0.0,CD,1.802,82.0,1,0.0,0.5
50,1.0,AB,0.828,83.0,0,0.0,0.5
50,0.0,CD,1.954,83.0,1,0.0,0.5
50,0.0,EF,1.765,83.0,2,0.0,0.5
50,0.0,EF,0.914,84.0,2,0.0,0.5
50,1.0,CD,1.584,84.0,1,1.0,0.5
50,1.0,AB,1.566,84.0,0,1.0,0.5
50,1.0,EF,0.964,85.0,2,1.0,0.5
50,1.0,AB,0.842,85.0,0,1.0,0.5
50,0.0,CD,0.97,85.0,1,0.0,0.5
50,0.0,EF,1.288,86.0,2,0.0,0.5
50,1.0,AB,0.792,86.0,0,1.0,0.5
50,0.0,CD,1.485,86.0,1,0.0,0.5
50,1.0,AB,1.342,87.0,0,1.0,0.5
50,1.0,EF,1.672,87.0,2,1.0,0.5
50,0.0,CD,1.15,87.0,1,0.0,0.5
50,0.0,EF,0.946,88.0,2,0.0,0.5
50,1.0,AB,1.049,88.0,0,1.0,0.5
50,1.0,CD,1.12,88.0,1,0.0,0.5
50,1.0,EF,0.836,89.0,2,1.0,0.5
50,1.0,AB,0.737,89.0,0,1.0,0.5
50,0.0,CD,0.718,89.0,1,0.0,0.5
50,0.0,CD,0.826,90.0,1,0.0,0.5
50,1.0,EF,0.736,90.0,2,1.0,0.5
50,1.0,AB,0.768,90.0,0,1.0,0.5
50,0.0,CD,0.886,91.0,1,1.0,0.5
50,1.0,AB,1.44,91.0,0,1.0,0.5
50,0.0,EF,0.413,91.0,2,1.0,0.5
50,1.0,EF,0.692,92.0,2,1.0,0.5
50,1.0,AB,0.762,92.0,0,1.0,0.5
50,0.0,CD,0.655,92.0,1,1.0,0.5
50,1.0,CD,0.735,93.0,1,1.0,0.5
50,1.0,EF,0.536,93.0,2,0.0,0.5
50,1.0,AB,0.733,93.0,0,1.0,0.5
50,1.0,EF,0.609,94.0,2,1.0,0.5
50,0.0,CD,0.649,94.0,1,0.0,0.5
50,1.0,AB,1.272,94.0,0,1.0,0.5
50,1.0,AB,2.22,95.0,0,0.0,0.5
50,1.0,EF,0.717,95.0,2,0.0,0.5
50,0.0,CD,0.831,95.0,1,1.0,0.5
50,1.0,AB,0.856,96.0,0,1.0,0.5
50,1.0,CD,1.687,96.0,1,1.0,0.5
50,1.0,EF,1.004,96.0,2,1.0,0.5
50,1.0,AB,0.883,97.0,0,0.0,0.5
50,1.0,CD,0.743,97.0,1,0.0,0.5
50,1.0,EF,0.867,97.0,2,0.0,0.5
50,0.0,EF,2.353,98.0,2,0.0,0.5
50,1.0,CD,1.571,98.0,1,1.0,0.5
50,1.0,AB,1.128,98.0,0,1.0,0.5
50,0.0,CD,0.782,99.0,1,0.0,0.5
50,1.0,AB,0.67,99.0,0,1.0,0.5
50,1.0,EF,1.027,99.0,2,0.0,0.5
50,1.0,EF,0.533,100.0,2,1.0,0.5
50,1.0,AB,0.786,100.0,0,0.0,0.5
50,0.0,CD,2.407,100.0,1,0.0,0.5
50,0.0,CD,0.944,101.0,1,1.0,0.5
50,1.0,AB,0.741,101.0,0,1.0,0.5
50,0.0,EF,0.657,101.0,2,1.0,0.5
50,0.0,EF,0.812,102.0,2,1.0,0.5
50,1.0,AB,0.788,102.0,0,1.0,0.5
50,1.0,CD,1.168,102.0,1,0.0,0.5
50,0.0,CD,0.686,103.0,1,1.0,0.5
50,1.0,AB,0.633,103.0,0,1.0,0.5
50,1.0,EF,1.409,103.0,2,0.0,0.5
50,0.0,EF,0.771,104.0,2,0.0,0.5
50,1.0,AB,0.721,104.0,0,1.0,0.5
50,1.0,CD,1.078,104.0,1,0.0,0.5
50,1.0,EF,0.928,105.0,2,0.0,0.5
50,0.0,CD,3.248,105.0,1,0.0,0.5
50,1.0,AB,0.863,105.0,0,1.0,0.5
50,0.0,CD,0.866,106.0,1,0.0,0.5
50,1.0,AB,1.017,106.0,0,1.0,0.5
50,0.0,EF,1.247,106.0,2,0.0,0.5
50,1.0,CD,1.254,107.0,1,1.0,0.5
50,0.0,EF,1.043,107.0,2,1.0,0.5
50,1.0,AB,0.642,107.0,0,1.0,0.5
50,1.0,AB,0.921,108.0,0,0.0,0.5
50,0.0,EF,1.192,108.0,2,0.0,0.5
50,0.0,CD,1.081,108.0,1,0.0,0.5
50,0.0,CD,0.479,109.0,1,0.0,0.5
50,0.0,EF,0.858,109.0,2,1.0,0.5
50,1.0,AB,0.763,109.0,0,1.0,0.5
50,0.0,CD,0.799,110.0,1,0.0,0.5
50,1.0,EF,1.224,110.0,2,1.0,0.5
50,1.0,AB,0.645,110.0,0,1.0,0.5
50,0.0,CD,0.702,111.0,1,1.0,0.5
50,1.0,EF,0.715,111.0,2,0.0,0.5
50,1.0,AB,0.777,111.0,0,1.0,0.5
50,0.0,EF,0.849,112.0,2,0.0,0.5
50,0.0,CD,0.769,112.0,1,1.0,0.5
50,1.0,AB,0.664,112.0,0,1.0,0.5
50,1.0,AB,1.63,113.0,0,1.0,0.5
