#This file provides an overview of the best-fitting parameter values encountered in previous research
#if s=1 in the original paper, all parameters are devided by 10
#drift criterion added to/substracted from drift rate values
#Criteria for incorporating results in review: ##
# 1. Whenever there is a choice, use the fit to average data, instead of individual Ss.
# 2. Negative drift rates multiplied by -1.
#Klauer, K., Voss, A., Schmitz, F., & Teige-Mocigemba, S. (2007). Process components of the implicit association test: A diffusion-model analysis.
#Journal of Personality and Social Psychology, 93, 353–368.
#Table 2.
#a	z	Ter	eta	sz	st	v
0.19	0.12	0.44	0.13	0.08	0.49	0.18
0.19	0.12	0.44	0.13	0.08	0.49	0.37
0.19	0.12	0.44	0.13	0.08	0.49	0.12
0.17	0.11	0.46	0.09	0.06	0.51	0.13
0.17	0.11	0.46	0.09	0.06	0.51	0.37
0.17	0.10	0.46	0.09	0.06	0.51	0.07
0.28	0.17	0.59	0.16	0.11	0.63	0.21
0.28	0.17	0.59	0.16	0.11	0.63	0.46
0.28	0.16	0.59	0.16	0.11	0.63	0.08
#####################################################################################################################################


#Ratcliff, R. (2002). A diffusion model account of response time and accuracy in a brightness discrimination task: Fitting real data and failing to fit #fake but plausible data. Psychonomic Bulletin & Review, 9, 278-291.
#Table 1. & 2.

#a	z	Ter	eta	sz	st	v
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.2640
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.0066
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.2029
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.5408
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.3203
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.0723
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.5844
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.3846
0.0700	0.0350	0.3650	0.2532	0.0556	0.1133	0.1219
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.2640
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.0066
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.2029
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.5408
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.3203
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.0723
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.5844
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.3846
0.0998	0.0499	0.3650	0.2532	0.0556	0.1133	0.1219
################################################################################################################


#Ratcliff, R. (2006). Modeling response signal and response time data.
#Cognitive Psychology, 53, 195-237.
#Table 2. & 3.

#a	z	Ter	eta	sz	st	v
0.059	0.031	0.332	0.020	0.047	0.100	0.481
0.059	0.031	0.332	0.020	0.047	0.100	0.394
0.059	0.031	0.332	0.020	0.047	0.100	0.275
0.059	0.031	0.332	0.020	0.047	0.100	0.118
0.059	0.031	0.332	0.020	0.047	0.100	0.019
0.059	0.031	0.332	0.020	0.047	0.100	0.164
0.059	0.031	0.332	0.020	0.047	0.100	0.287
0.059	0.031	0.332	0.020	0.047	0.100	0.359
0.079	0.040	0.332	0.020	0.047	0.100	0.481
0.079	0.040	0.332	0.020	0.047	0.100	0.394
0.079	0.040	0.332	0.020	0.047	0.100	0.275
0.079	0.040	0.332	0.020	0.047	0.100	0.118
0.079	0.040	0.332	0.020	0.047	0.100	0.019
0.079	0.040	0.332	0.020	0.047	0.100	0.164
0.079	0.040	0.332	0.020	0.047	0.100	0.287
0.079	0.040	0.332	0.020	0.047	0.100	0.359
0.060	0.031	0.335	0.049	0.051	0.105	0.504
0.060	0.031	0.335	0.049	0.051	0.105	0.416
0.060	0.031	0.335	0.049	0.051	0.105	0.300
0.060	0.031	0.335	0.049	0.051	0.105	0.146
0.060	0.031	0.335	0.049	0.051	0.105	0.007
0.060	0.031	0.335	0.049	0.051	0.105	0.180
0.060	0.031	0.335	0.049	0.051	0.105	0.315
0.060	0.031	0.335	0.049	0.051	0.105	0.391
0.080	0.041	0.335	0.049	0.051	0.105	0.504
0.080	0.041	0.335	0.049	0.051	0.105	0.416
0.080	0.041	0.335	0.049	0.051	0.105	0.300
0.080	0.041	0.335	0.049	0.051	0.105	0.146
0.080	0.041	0.335	0.049	0.051	0.105	0.007
0.080	0.041	0.335	0.049	0.051	0.105	0.180
0.080	0.041	0.335	0.049	0.051	0.105	0.315
0.080	0.041	0.335	0.049	0.051	0.105	0.391
##############################################################################################################


#Ratcliff, R., Gomez, P., & McKoon, G. (2004). A diffusion model account of the lexical decision task.
#Psychological Review, 111, 159-182.
#Table 6.

#a	z	Ter	eta	sz	st	v

0.110	0.056	0.435	0.070	0.004	0.159	0.213
0.110	0.056	0.435	0.070	0.004	0.159	0.396
0.110	0.056	0.435	0.070	0.004	0.159	0.216
0.110	0.056	0.435	0.070	0.004	0.159	0.128
0.125	0.066	0.407	0.123	0.076	0.133	0.358
0.125	0.066	0.407	0.123	0.076	0.133	0.477
0.125	0.066	0.407	0.123	0.076	0.133	0.368
0.125	0.066	0.407	0.123	0.076	0.133	0.312
0.112	0.056	0.433	0.014	0.054	0.164	0.235
0.112	0.056	0.433	0.014	0.054	0.164	0.337
0.112	0.056	0.433	0.014	0.054	0.164	0.151
0.120	0.063	0.394	0.101	0.072	0.110	0.350
0.120	0.063	0.394	0.101	0.072	0.110	0.392
0.120	0.063	0.394	0.101	0.072	0.110	0.274
0.127	0.063	0.438	0.035	0.046	0.179	0.198
0.127	0.063	0.438	0.035	0.046	0.179	0.368
0.127	0.063	0.438	0.035	0.046	0.179	0.183
0.127	0.063	0.438	0.035	0.046	0.179	0.104
0.130	0.060	0.466	0.081	0.004	0.171	0.215
0.130	0.060	0.466	0.081	0.004	0.171	0.360
0.130	0.060	0.466	0.081	0.004	0.171	0.138
0.131	0.063	0.402	0.086	0.025	0.146	0.401
0.131	0.063	0.402	0.086	0.025	0.146	0.164
0.131	0.063	0.402	0.086	0.025	0.146	0.390
0.131	0.063	0.402	0.086	0.025	0.146	0.255
0.131	0.063	0.402	0.086	0.025	0.146	0.158

#Table 10.

#a	z	Ter	eta	sz	st	v
0.115	0.057	0.441	0.066	0.024	0.003	0.218
0.115	0.057	0.441	0.066	0.024	0.003	0.334
0.115	0.057	0.441	0.066	0.024	0.003	0.181
0.115	0.057	0.441	0.066	0.024	0.003	0.109
0.115	0.057	0.441	0.066	0.024	0.003	0.203
0.115	0.057	0.441	0.066	0.024	0.003	0.384
0.115	0.057	0.441	0.066	0.024	0.003	0.260
0.115	0.057	0.441	0.066	0.024	0.003	0.195
0.117	0.058	0.389	0.076	0.061	0.122	0.320
0.117	0.058	0.389	0.076	0.061	0.122	0.394
0.117	0.058	0.389	0.076	0.061	0.122	0.325
0.117	0.058	0.389	0.076	0.061	0.122	0.267
0.117	0.058	0.389	0.076	0.061	0.122	0.320
0.117	0.058	0.389	0.076	0.061	0.122	0.408
0.117	0.058	0.389	0.076	0.061	0.122	0.355
0.117	0.058	0.389	0.076	0.061	0.122	0.346
#####################################################################################################################################


#Ratcliff, R., & McKoon, G. (2008). The diffusion decision model: Theory and data for two-choice decision tasks.
#Neural Computation, 20, 873-922.
#Table 1. & 2.

#a	z	Ter	eta	sz	st	v
0.111	0.056	0.418	0.122	0.067	0.199	0.042
0.111	0.056	0.418	0.122	0.067	0.199	0.079
0.111	0.056	0.418	0.122	0.067	0.199	0.133
0.111	0.056	0.418	0.122	0.067	0.199	0.227
0.111	0.056	0.418	0.122	0.067	0.199	0.291
0.111	0.056	0.418	0.122	0.067	0.199	0.369
0.109	0.055	0.414	0.073	0.065	0.243	0.031
0.109	0.055	0.414	0.073	0.065	0.243	0.073
0.109	0.055	0.414	0.073	0.065	0.243	0.101
0.109	0.055	0.414	0.073	0.065	0.243	0.206
0.152	0.076	0.414	0.073	0.065	0.243	0.031
0.152	0.076	0.414	0.073	0.065	0.243	0.073
0.152	0.076	0.414	0.073	0.065	0.243	0.101
0.152	0.076	0.414	0.073	0.065	0.243	0.206
###################################################################################################################


#Ratcliff, R., Perea, M., Colangelo, A., & Buchanan, L. (2004). A diffusion model account of normal and impaired readers.
#Brain and Cognition, 55, 374-382.
#Figure 1.

#a	z	Ter	eta	sz	st	v
0.283	0.115	0.577	0.098	0.169	0.350	0.262
0.283	0.115	0.577	0.098	0.169	0.350	0.176
0.283	0.115	0.577	0.098	0.169	0.350	0.190
0.233	0.117	0.594	0.049	0.095	0.335	0.181
0.233	0.117	0.594	0.049	0.095	0.335	0.077
0.233	0.117	0.594	0.049	0.095	0.335	0.121
0.393	0.182	0.815	0.049	0.004	0.001	0.072
0.393	0.182	0.815	0.049	0.004	0.001	0.029
0.393	0.182	0.815	0.049	0.004	0.001	0.062
0.147	0.062	0.470	0.139	0.023	0.140	0.409
0.147	0.062	0.470	0.139	0.023	0.140	0.218
0.147	0.062	0.470	0.139	0.023	0.140	0.276
0.148	0.070	0.459	0.128	0.030	0.158	0.323
0.148	0.070	0.459	0.128	0.030	0.158	0.161
0.148	0.070	0.459	0.128	0.030	0.158	0.188
0.196	0.088	0.481	0.111	0.060	0.163	0.285
0.196	0.088	0.481	0.111	0.060	0.163	0.161
0.196	0.088	0.481	0.111	0.060	0.163	0.200
0.237	0.097	0.942	0.098	0.004	0.350	0.203
0.237	0.097	0.942	0.098	0.004	0.350	0.273
0.237	0.097	0.942	0.098	0.004	0.350	0.149
0.237	0.097	0.942	0.098	0.004	0.350	0.133
##########################################################################################################################3

#Ratcliff, R., & Rouder, J. (1998). Modeling response times for two-choice decisions.
#Psychological Science, 9, 347-356.
#Table 1.

#a	z	Ter	eta	sz	st	v
0.079	0.0395	0.260	0.063	0.0039	NA	NA
0.160	0.0800	0.260	0.063	0.0080	NA	NA
0.080	0.0400	0.274	0.093	0.0040	NA	NA
0.148	0.0740	0.274	0.093	0.0074	NA	NA
0.073	0.0365	0.228	0.082	0.0037	NA	NA
0.186	0.0930	0.228	0.082	0.0093	NA	NA
0.120	0.0680	0.378	0.120	0.0068	NA	NA
0.120	0.0520	0.369	0.071	0.0052	NA	NA
0.132	0.0610	0.311	0.120	0.0061	NA	NA
0.116	0.0460	0.406	0.068	0.0046	NA	NA
0.133	0.0560	0.374	0.088	0.0056	NA	NA
0.103	0.0500	0.350	0.136	0.0050	NA	NA
0.102	0.0510	0.363	0.193	0.0120	NA	NA
#####################################################################################################################


#Ratcliff, R., & Rouder, J. (2000). A diffusion model account of masking in two-choice letter identification.
#Journal of Experimental Psychology: Human Perception and Performance, 26, 127-140.
#Table 2.& 3.

#a	z	Ter	eta	sz	st	v
0.108	0.054	0.316	0.111	0.018	NA	0.026
0.108	0.054	0.316	0.111	0.018	NA	0.067
0.108	0.054	0.316	0.111	0.018	NA	0.124
0.108	0.054	0.316	0.111	0.018	NA	0.216
0.108	0.054	0.316	0.111	0.018	NA	0.298
0.104	0.052	0.319	0.071	0.014	NA	0.024
0.104	0.052	0.319	0.071	0.014	NA	0.080
0.104	0.052	0.319	0.071	0.014	NA	0.224
0.104	0.052	0.319	0.071	0.014	NA	0.274
0.104	0.052	0.319	0.071	0.014	NA	0.311
NA	NA	0.303	0.170	NA	NA	NA
NA	NA	0.303	0.170	NA	NA	NA
NA	NA	0.303	0.170	NA	NA	NA
################################################################################################################


#Ratcliff, R., & Smith, P. (2004). A comparison of sequential sampling models for two-choice reaction time.
#Psychological Review, 111, 333–367.
#Table 1. & 2. (from Ratcliff, Thapar & McKoon (2001))

#a	z	Ter	eta	sz	st	v
0.0821	0.0411	0.3109	0.1475	0.0324	0.1000	0.0391
0.0821	0.0411	0.3109	0.1475	0.0324	0.1000	0.1320
0.0821	0.0411	0.3109	0.1475	0.0324	0.1000	0.1944
0.0821	0.0411	0.3109	0.1475	0.0324	0.1000	0.3208
0.1440	0.0720	0.3109	0.1475	0.0324	0.1000	0.0391
0.1440	0.0720	0.3109	0.1475	0.0324	0.1000	0.1320
0.1440	0.0720	0.3109	0.1475	0.0324	0.1000	0.1944
0.1440	0.0720	0.3109	0.1475	0.0324	0.1000	0.3208


#Table 2. & 6. (from Ratcliff (2004-manuscript))

#a	z	Ter	eta	sz	st	v
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.2132
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.3015
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.3228
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.1009
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.1430
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.1509
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.0890
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.1484
0.1139	0.0310	0.5222	0.1658	0.0393	0.2140	0.1675
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.2132
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.3015
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.3228
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.1009
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.1430
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.1509
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.0890
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.1484
0.1139	0.0373	0.5222	0.1658	0.0393	0.2140	0.1675
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.2132
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.3015
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.3228
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.1009
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.1430
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.1509
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.0890
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.1484
0.1139	0.0550	0.5222	0.1658	0.0393	0.2140	0.1675
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.2132
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.3015
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.3228
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.1009
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.1430
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.1509
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.0890
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.1484
0.1139	0.0680	0.5222	0.1658	0.0393	0.2140	0.1675
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.2132
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.3015
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.3228
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.1009
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.1430
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.1509
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.0890
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.1484
0.1139	0.0768	0.5222	0.1658	0.0393	0.2140	0.1675

#Table 8. (from Van Zandt, T., Colonius, H., & Proctor, R. W. (2000). A comparison of two response time models applied to perceptual matching.
#Psychonomic Bulletin & Review, 7, 208-256.)

#a	z	Ter	eta	sz	st	v
0.1017	0.0795	0.3646	0.0252	0.0168	NA	0.2161
0.1017	0.0795	0.3646	0.0252	0.0168	NA	0.3659
0.1017	0.0589	0.3646	0.0252	0.0168	NA	0.2496
0.1017	0.0589	0.3646	0.0252	0.0168	NA	0.3994#
0.1017	0.0374	0.3646	0.0252	0.0168	NA	0.3066
0.1017	0.0374	0.3646	0.0252	0.0168	NA	0.4564#
########################################################################################################################


#Ratcliff, R., Thapar, A., Gomez, P., & McKoon, G. (2004). A diffusion model analysis of the effects of aging in the lexical-decision task.
#Psychology and Aging, 19, 278–289.
#Table 3. & 4.

#a	z	Ter	eta	sz	st	v
0.126	0.062	0.447	0.120	0.069	0.154	0.481
0.126	0.062	0.447	0.120	0.069	0.154	0.281
0.126	0.062	0.447	0.120	0.069	0.154	0.180
0.126	0.062	0.447	0.120	0.069	0.154	0.297
0.184	0.091	0.548	0.097	0.064	0.177	0.435
0.184	0.091	0.548	0.097	0.064	0.177	0.287
0.184	0.091	0.548	0.097	0.064	0.177	0.200
0.184	0.091	0.548	0.097	0.064	0.177	0.268
0.124	0.069	0.398	0.084	0.065	0.141	0.437
0.124	0.069	0.398	0.084	0.065	0.141	0.356
0.124	0.069	0.398	0.084	0.065	0.141	0.300
0.124	0.069	0.398	0.084	0.065	0.141	0.321
0.166	0.090	0.480	0.111	0.042	0.150	0.465
0.166	0.090	0.480	0.111	0.042	0.150	0.367
0.166	0.090	0.480	0.111	0.042	0.150	0.296
0.166	0.090	0.480	0.111	0.042	0.150	0.363
###############################################################################################################

#Ratcliff, R., Thapar, A., & McKoon, G. (2001). The effects of aging on reaction time in a signal detection task.
#Psychology and Aging, 16, 323-341.
#Table 2. (except Experiment 2., young group, see Ratcliff & Smith (2004))

#a	z	Ter	eta	sz	st	v
0.1705	0.0853	0.3938	0.0928	0.0365	NA	0.3507
0.1705	0.0853	0.3938	0.0928	0.0365	NA	0.2040
0.1705	0.0853	0.3938	0.0928	0.0365	NA	0.1152
0.1705	0.0853	0.3938	0.0928	0.0365	NA	0.0425
0.1413	0.0707	0.3409	0.0846	0.0513	NA	0.2727
0.1413	0.0707	0.3409	0.0846	0.0513	NA	0.1472
0.1413	0.0707	0.3409	0.0846	0.0513	NA	0.0861
0.1413	0.0707	0.3409	0.0846	0.0513	NA	0.0037
0.1475	0.0738	0.3459	0.0992	0.0458	NA	0.3152
0.1475	0.0738	0.3459	0.0992	0.0458	NA	0.1950
0.1475	0.0738	0.3459	0.0992	0.0458	NA	0.1188
0.1475	0.0738	0.3459	0.0992	0.0458	NA	0.0399
0.1416	0.0708	0.3549	0.0959	0.0561	NA	0.3008
0.1416	0.0708	0.3549	0.0959	0.0561	NA	0.1801
0.1416	0.0708	0.3549	0.0959	0.0561	NA	0.1163
0.1416	0.0708	0.3549	0.0959	0.0561	NA	0.0410
0.1805	0.0903	0.3234	0.1081	0.0453	NA	0.3302
0.1805	0.0903	0.3234	0.1081	0.0453	NA	0.2063
0.1805	0.0903	0.3234	0.1081	0.0453	NA	0.1357
0.1805	0.0903	0.3234	0.1081	0.0453	NA	0.0364
0.1096	0.0548	0.3234	0.1081	0.0453	NA	0.3302
0.1096	0.0548	0.3234	0.1081	0.0453	NA	0.2063
0.1096	0.0548	0.3234	0.1081	0.0453	NA	0.1357
0.1096	0.0548	0.3234	0.1081	0.0453	NA	0.0364
###############################################################################################################


#Ratcliff, R., Thapar, A., & McKoon, G. (2003). A diffusion model analysis of the effects of aging on brightness discrimination.
#Perception & Psychophysics, 65, 523-535.
#Table 2. & 3.

#a	z	Ter	eta	sz	st	v
0.072	0.036	0.406	0.124	0.030	0.170	0.405
0.072	0.036	0.406	0.124	0.030	0.170	0.258
0.072	0.036	0.406	0.124	0.030	0.170	0.192
0.072	0.036	0.406	0.124	0.030	0.170	0.359
0.072	0.036	0.406	0.124	0.030	0.170	0.273
0.072	0.036	0.406	0.124	0.030	0.170	0.120
0.072	0.036	0.406	0.124	0.030	0.170	0.311
0.072	0.036	0.406	0.124	0.030	0.170	0.230
0.072	0.036	0.406	0.124	0.030	0.170	0.142
0.128	0.064	0.406	0.124	0.030	0.170	0.405
0.128	0.064	0.406	0.124	0.030	0.170	0.258
0.128	0.064	0.406	0.124	0.030	0.170	0.192
0.128	0.064	0.406	0.124	0.030	0.170	0.359
0.128	0.064	0.406	0.124	0.030	0.170	0.273
0.128	0.064	0.406	0.124	0.030	0.170	0.120
0.128	0.064	0.406	0.124	0.030	0.170	0.311
0.128	0.064	0.406	0.124	0.030	0.170	0.230
0.128	0.064	0.406	0.124	0.030	0.170	0.142
0.071	0.036	0.459	0.155	0.033	0.156	0.425
0.071	0.036	0.459	0.155	0.033	0.156	0.280
0.071	0.036	0.459	0.155	0.033	0.156	0.131
0.071	0.036	0.459	0.155	0.033	0.156	0.402
0.071	0.036	0.459	0.155	0.033	0.156	0.244
0.071	0.036	0.459	0.155	0.033	0.156	0.076
0.071	0.036	0.459	0.155	0.033	0.156	0.343
0.071	0.036	0.459	0.155	0.033	0.156	0.168
0.071	0.036	0.459	0.155	0.033	0.156	0.045
0.116	0.058	0.459	0.155	0.033	0.156	0.425
0.116	0.058	0.459	0.155	0.033	0.156	0.280
0.116	0.058	0.459	0.155	0.033	0.156	0.131
0.116	0.058	0.459	0.155	0.033	0.156	0.402
0.116	0.058	0.459	0.155	0.033	0.156	0.244
0.116	0.058	0.459	0.155	0.033	0.156	0.076
0.116	0.058	0.459	0.155	0.033	0.156	0.343
0.116	0.058	0.459	0.155	0.033	0.156	0.168
0.116	0.058	0.459	0.155	0.033	0.156	0.045
#################################################################################################################


#Ratcliff, R., Thapar, A., & McKoon, G. (2004). A diffusion model analysis of the effects of aging on recognition memory.
#Journal of Memory and Language, 50, 408-424.
#Table 3. & 4.

#a	z	Ter	eta	sz	st	v
0.100	0.045	0.594	0.218	0.006	0.232	0.206
0.100	0.045	0.594	0.218	0.006	0.232	0.215
0.100	0.045	0.594	0.218	0.006	0.232	0.243
0.100	0.045	0.594	0.218	0.006	0.232	0.015
0.100	0.045	0.594	0.218	0.006	0.232	0.095
0.100	0.045	0.594	0.218	0.006	0.232	0.109
0.100	0.045	0.594	0.218	0.006	0.232	0.166
0.100	0.045	0.594	0.218	0.006	0.232	0.256
0.100	0.045	0.594	0.218	0.006	0.232	0.297
0.138	0.063	0.594	0.218	0.006	0.232	0.206
0.138	0.063	0.594	0.218	0.006	0.232	0.215
0.138	0.063	0.594	0.218	0.006	0.232	0.243
0.138	0.063	0.594	0.218	0.006	0.232	0.015
0.138	0.063	0.594	0.218	0.006	0.232	0.095
0.138	0.063	0.594	0.218	0.006	0.232	0.109
0.138	0.063	0.594	0.218	0.006	0.232	0.166
0.138	0.063	0.594	0.218	0.006	0.232	0.256
0.138	0.063	0.594	0.218	0.006	0.232	0.297
0.069	0.035	0.486	0.164	0.011	0.203	0.163
0.069	0.035	0.486	0.164	0.011	0.203	0.252
0.069	0.035	0.486	0.164	0.011	0.203	0.246
0.069	0.035	0.486	0.164	0.011	0.203	0.003
0.069	0.035	0.486	0.164	0.011	0.203	0.114
0.069	0.035	0.486	0.164	0.011	0.203	0.150
0.069	0.035	0.486	0.164	0.011	0.203	0.125
0.069	0.035	0.486	0.164	0.011	0.203	0.246
0.069	0.035	0.486	0.164	0.011	0.203	0.274
0.132	0.058	0.486	0.164	0.011	0.203	0.163
0.132	0.058	0.486	0.164	0.011	0.203	0.252
0.132	0.058	0.486	0.164	0.011	0.203	0.246
0.132	0.058	0.486	0.164	0.011	0.203	0.003
0.132	0.058	0.486	0.164	0.011	0.203	0.114
0.132	0.058	0.486	0.164	0.011	0.203	0.150
0.132	0.058	0.486	0.164	0.011	0.203	0.125
0.132	0.058	0.486	0.164	0.011	0.203	0.246
0.132	0.058	0.486	0.164	0.011	0.203	0.274
################################################################################################################


#Ratcliff, R., Thapar, A., & McKoon, G. (2006a). Aging and individual differences in rapid two-choice decisions.
#Psychonomic Bulletin & Review, 13, 626-635.
#Table 3.

#a	z	Ter	eta	sz	st	v
0.073	0.037	0.340	NA	NA	NA	0.332
0.085	0.043	0.371	NA	NA	NA	0.369
0.112	0.056	0.410	NA	NA	NA	0.329
0.061	0.031	0.325	NA	NA	NA	0.295
0.070	0.035	0.392	NA	NA	NA	0.246
0.092	0.046	0.423	NA	NA	NA	0.228
0.057	0.029	0.399	NA	NA	NA	0.269
0.074	0.037	0.442	NA	NA	NA	0.318
0.080	0.040	0.439	NA	NA	NA	0.136
0.064	NA	0.498	NA	NA	NA	0.349
0.076	NA	0.582	NA	NA	NA	0.364
0.101	NA	0.671	NA	NA	NA	0.279
################################################################################################################


#Ratcliff, R., Thapar, A., & McKoon, G. (2006b). Aging, practice, and perceptual tasks: A diffusion model analysis.
#Psychology and Aging, 21, 353-371.
#Table 2.

#a	z	Ter	eta	sz	st	v
0.065	0.033	0.373	0.119	0.032	0.142	NA
0.109	0.055	0.373	0.119	0.032	0.142 	NA
0.060	0.030	0.355	0.113	0.014	0.130	NA
0.103	0.052	0.355	0.113	0.014	0.130	NA
0.056	0.028	0.364	0.139	0.004	0.137	NA
0.096	0.048	0.364	0.139	0.004	0.137	NA
0.118	0.059	0.424	0.126	0.027	0.130	NA
0.159	0.080	0.424	0.126	0.027	0.130	NA
0.082	0.041	0.434	0.093	0.008	0.162	NA
0.129	0.065	0.434	0.093	0.008	0.162	NA
